nodes_id,within_module_connectivities,among_module_connectivities,degree,modularity,type
Zotu10,0,0.75,2,9,Connectors
Zotu1144,-0.934181659,0.75,2,3,Connectors
Zotu1147,-0.934181659,0.75,2,3,Connectors
Zotu1177,1.154700538,0.777777778,3,12,Connectors
Zotu118,-0.295421532,0.777777778,3,5,Connectors
Zotu1185,-0.631501348,0.75,2,2,Connectors
Zotu1194,-0.631501348,0.75,2,2,Connectors
Zotu122,-0.295421532,0.75,2,5,Connectors
Zotu124,-0.821474314,0.75,2,8,Connectors
Zotu1253,-0.301511345,0.75,2,17,Connectors
Zotu130,-1.224094044,0.777777778,3,1,Connectors
Zotu1316,-0.631501348,0.75,2,2,Connectors
Zotu1317,-0.84827868,0.75,2,6,Connectors
Zotu1322,-0.631501348,0.6875,4,2,Connectors
Zotu1324,-0.631501348,0.75,2,2,Connectors
Zotu1328,-0.525448904,0.6875,4,4,Connectors
Zotu1391,-0.631501348,0.75,2,2,Connectors
Zotu143,-0.934181659,0.75,2,3,Connectors
Zotu1451,0.1558573,0.75,2,7,Connectors
Zotu146,-0.934181659,0.75,2,3,Connectors
Zotu147,-0.934181659,0.75,2,3,Connectors
Zotu1481,0.1558573,0.75,2,7,Connectors
Zotu1512,-0.974891054,0.75,2,5,Connectors
Zotu1556,-0.631501348,0.75,2,2,Connectors
Zotu160,-0.631501348,0.75,2,2,Connectors
Zotu162,-0.301511345,0.75,2,17,Connectors
Zotu1632,0.730296743,0.75,2,13,Connectors
Zotu1671,-0.631501348,0.75,2,2,Connectors
Zotu1723,-0.887548608,0.6875,4,3,Connectors
Zotu1749,-0.631501348,0.75,2,2,Connectors
Zotu18,-0.316090356,0.68,5,4,Connectors
Zotu1802,-0.934181659,0.75,2,3,Connectors
Zotu1992,0,0.75,2,22,Connectors
Zotu206,-1.224094044,0.777777778,3,1,Connectors
Zotu2062,-1.095445115,0.75,2,13,Connectors
Zotu2077,0.730296743,0.75,2,13,Connectors
Zotu2148,-0.631501348,0.75,2,2,Connectors
Zotu2157,-0.631501348,0.75,2,2,Connectors
Zotu221,-0.631501348,0.75,2,2,Connectors
Zotu223,-0.840915558,0.694444444,6,3,Connectors
Zotu230,-0.525448904,0.6875,4,4,Connectors
