source,target,weight,correlation,cor
Zotu2003,Zotu2833,0.825176815055124,0.825176815055124,1
Zotu2003,Zotu1458,0.829043411546293,0.829043411546293,1
Zotu2003,Zotu4007,0.820823610801519,0.820823610801519,1
Zotu2003,Zotu793,0.832858211813742,0.832858211813742,1
Zotu2003,Zotu438,0.811366087651787,0.811366087651787,1
Zotu2003,Zotu1722,0.802327569544061,0.802327569544061,1
Zotu2003,Zotu1301,0.802106846030934,0.802106846030934,1
Zotu2003,Zotu1361,0.812382843848913,0.812382843848913,1
Zotu2003,Zotu886,0.815653495476834,0.815653495476834,1
Zotu2003,Zotu364,0.80890755897037,0.80890755897037,1
Zotu2003,Zotu60,0.816794209064422,0.816794209064422,1
Zotu2003,Zotu289,0.805265640102059,0.805265640102059,1
Zotu2003,Zotu40,0.826164628070733,0.826164628070733,1
Zotu4057,Zotu1895,0.802628211412657,0.802628211412657,1
Zotu4057,Zotu343,0.813449778325145,0.813449778325145,1
Zotu4057,Zotu37,0.800244894513922,0.800244894513922,1
Zotu1693,Zotu997,0.818281732087777,0.818281732087777,1
Zotu2967,Zotu1366,0.82625009034205,0.82625009034205,1
Zotu2967,Zotu2034,0.817181520809313,0.817181520809313,1
Zotu2967,Zotu145,0.817222210102168,0.817222210102168,1
Zotu4840,Zotu1888,0.822424166875557,0.822424166875557,1
Zotu4840,Zotu2802,0.800198957182117,0.800198957182117,1
Zotu4840,Zotu4799,0.802493871042879,0.802493871042879,1
Zotu4840,Zotu1409,0.811392403656204,0.811392403656204,1
Zotu4840,Zotu969,0.845877683927994,0.845877683927994,1
Zotu4840,Zotu505,0.867759259648005,0.867759259648005,1
Zotu2221,Zotu804,0.829776839735007,0.829776839735007,1
Zotu2847,Zotu981,0.804686102744955,0.804686102744955,1
Zotu2847,Zotu3897,0.810461051391605,0.810461051391605,1
Zotu2847,Zotu444,0.813101942887889,0.813101942887889,1
Zotu2847,Zotu289,0.803948037378739,0.803948037378739,1
Zotu2009,Zotu1414,0.832840530596261,0.832840530596261,1
Zotu1764,Zotu2685,0.801718085590079,0.801718085590079,1
Zotu1764,Zotu898,0.811721411180945,0.811721411180945,1
Zotu1764,Zotu1249,0.82268800014842,0.82268800014842,1
Zotu1764,Zotu748,0.806278673204854,0.806278673204854,1
Zotu1764,Zotu743,0.800332949401199,0.800332949401199,1
Zotu1764,Zotu244,0.826551465320319,0.826551465320319,1
Zotu1764,Zotu60,0.828826473157142,0.828826473157142,1
Zotu5273,Zotu6484,0.802907825795199,0.802907825795199,1
Zotu5273,Zotu11039,0.855006308723462,0.855006308723462,1
Zotu5273,Zotu3810,0.812095414386594,0.812095414386594,1
Zotu5273,Zotu7106,0.801191057495848,0.801191057495848,1
Zotu5273,Zotu3360,0.810894725348636,0.810894725348636,1
Zotu5273,Zotu4434,0.807733388399494,0.807733388399494,1
Zotu5273,Zotu4716,0.815026640150725,0.815026640150725,1
Zotu5273,Zotu4937,0.833895792550331,0.833895792550331,1
Zotu5273,Zotu4201,0.837539798346945,0.837539798346945,1
Zotu5273,Zotu5101,0.815967525738327,0.815967525738327,1
Zotu5273,Zotu4552,0.803022142742014,0.803022142742014,1
Zotu5273,Zotu2452,0.822838161029176,0.822838161029176,1
Zotu5273,Zotu2173,0.84784792023688,0.84784792023688,1
Zotu5273,Zotu1170,0.807777021828764,0.807777021828764,1
Zotu5273,Zotu603,0.817858878537919,0.817858878537919,1
Zotu5273,Zotu675,0.814659807983951,0.814659807983951,1
Zotu5273,Zotu1365,0.847864342014391,0.847864342014391,1
Zotu5273,Zotu1066,0.801202334818564,0.801202334818564,1
Zotu5273,Zotu195,0.829294748066256,0.829294748066256,1
Zotu1953,Zotu1604,0.821235384481674,0.821235384481674,1
Zotu1953,Zotu828,0.823442841452991,0.823442841452991,1
Zotu1953,Zotu521,0.805492514907846,0.805492514907846,1
Zotu85879,Zotu46213,0.80861345511351,0.80861345511351,1
Zotu1022,Zotu354,0.821682808598626,0.821682808598626,1
Zotu1022,Zotu210,0.810706067354472,0.810706067354472,1
Zotu1022,Zotu79,0.840834266099926,0.840834266099926,1
Zotu2341,Zotu259,0.804372256717026,0.804372256717026,1
Zotu2341,Zotu240,0.808528022999339,0.808528022999339,1
Zotu4391,Zotu618,0.811130507609734,0.811130507609734,1
Zotu4391,Zotu822,0.807968334334804,0.807968334334804,1
Zotu4391,Zotu52,0.802658182688204,0.802658182688204,1
Zotu5202,Zotu1722,0.803875563245822,0.803875563245822,1
Zotu5202,Zotu1819,0.81652055561054,0.81652055561054,1
Zotu1256,Zotu491,0.820055625235526,0.820055625235526,1
Zotu9196,Zotu4416,0.801965762852595,0.801965762852595,1
Zotu1802,Zotu2685,0.818412992310259,0.818412992310259,1
Zotu1802,Zotu1203,0.803992320377784,0.803992320377784,1
Zotu1802,Zotu27,0.817388701444342,0.817388701444342,1
Zotu87006,Zotu88440,0.800561668427982,0.800561668427982,1
Zotu3287,Zotu376,0.818332869747552,0.818332869747552,1
Zotu5537,Zotu4162,0.842253395739182,0.842253395739182,1
Zotu4435,Zotu1941,0.819968204132305,0.819968204132305,1
Zotu4435,Zotu1334,0.800935818330286,0.800935818330286,1
Zotu4435,Zotu1236,0.82281188174949,0.82281188174949,1
Zotu3361,Zotu1458,0.818388627399379,0.818388627399379,1
Zotu3361,Zotu2732,0.833326521669876,0.833326521669876,1
Zotu3361,Zotu1414,0.823058221650305,0.823058221650305,1
Zotu3361,Zotu4007,0.815519662888008,0.815519662888008,1
Zotu3361,Zotu1357,0.818000564124692,0.818000564124692,1
Zotu3361,Zotu1904,0.821607194834422,0.821607194834422,1
Zotu3361,Zotu1941,0.812605735316347,0.812605735316347,1
Zotu3361,Zotu793,0.830650332396632,0.830650332396632,1
Zotu3361,Zotu1852,0.8518288858556,0.8518288858556,1
Zotu3361,Zotu1249,0.826668545399822,0.826668545399822,1
Zotu3361,Zotu2739,0.818750234127017,0.818750234127017,1
Zotu3361,Zotu1182,0.824184961799456,0.824184961799456,1
Zotu3361,Zotu763,0.882661974896204,0.882661974896204,1
Zotu3361,Zotu1905,0.832471173405076,0.832471173405076,1
Zotu3361,Zotu748,0.816188646521151,0.816188646521151,1
Zotu3361,Zotu990,0.807340990213294,0.807340990213294,1
Zotu3361,Zotu1722,0.80461105676037,0.80461105676037,1
Zotu3361,Zotu1361,0.821577923392995,0.821577923392995,1
