id,kingdom,phylum,class,order,family,genus,species,type
Zotu2003,d__Bacteria, p__Chloroflexi, c__Ktedonobacteria, o__Ktedonobacterales, f__Ktedonobacteraceae, g__1921-3, s__uncultured_Ktedonobacter,
Zotu4057,d__Bacteria, p__Acidobacteriota, c__Acidobacteriae, o__Acidobacteriales, f__Acidobacteriaceae_(Subgroup_1),,,
Zotu1693,d__Bacteria, p__Myxococcota, c__Polyangia, o__Polyangiales, f__Polyangiaceae, g__uncultured, s__uncultured_soil,
Zotu2967,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured,,
Zotu4840,d__Bacteria, p__Acidobacteriota, c__Holophagae, o__Subgroup_7, f__Subgroup_7, g__Subgroup_7,,
Zotu2221,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae,,,
Zotu2847,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__uncultured_bacterium,
Zotu2009,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Elsterales, f__uncultured, g__uncultured, s__uncultured_bacterium,
Zotu1764,d__Bacteria, p__Desulfobacterota, c__Desulfuromonadia, o__Geobacterales, f__Geobacteraceae,,,
Zotu5273,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__uncultured,,
Zotu1953,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__uncultured_bacterium,
Zotu85879,d__Bacteria, p__Firmicutes, c__Clostridia, o__Proteinivoracales, f__uncultured, g__uncultured, s__uncultured_Anaerobranca,
Zotu1022,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Nitrosomonadaceae, g__MND1,,
Zotu2341,d__Bacteria, p__Sumerlaeota, c__Sumerlaeia, o__Sumerlaeales, f__Sumerlaeaceae, g__Sumerlaea,,
Zotu4391,d__Bacteria, p__Planctomycetota, c__Phycisphaerae, o__Tepidisphaerales, f__WD2101_soil_group, g__WD2101_soil_group,,
Zotu5202,d__Bacteria, p__Latescibacterota, c__Latescibacterota, o__Latescibacterota, f__Latescibacterota, g__Latescibacterota,,
Zotu1256,d__Bacteria, p__Actinobacteriota, c__Thermoleophilia, o__Gaiellales, f__uncultured, g__uncultured, s__uncultured_bacterium,
Zotu9196,d__Bacteria, p__Acidobacteriota, c__Acidobacteriae, o__Bryobacterales, f__Bryobacteraceae, g__Bryobacter,,
Zotu1802,d__Bacteria, p__Chloroflexi, c__Ktedonobacteria, o__Ktedonobacterales, f__JG30-KF-AS9, g__JG30-KF-AS9, s__uncultured_bacterium,
Zotu87006,d__Bacteria, p__Myxococcota, c__Polyangia, o__Haliangiales, f__Haliangiaceae, g__Haliangium,,
Zotu3287,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Gammaproteobacteria_Incertae_Sedis, f__Unknown_Family, g__Candidatus_Ovatusbacter,,
