nodes_id,within_module_connectivities,among_module_connectivities,degree,modularity,type
Zotu10,1.154700538,0.75,2,9,Connectors
Zotu1044,-0.458008159,0.75,2,4,Connectors
Zotu1058,-0.458008159,0.777777778,3,4,Connectors
Zotu1079,-0.868904566,0.75,2,2,Connectors
Zotu1140,-0.883875686,0.75,2,1,Connectors
Zotu115,-0.721697996,0.75,2,3,Connectors
Zotu119,-0.868904566,0.75,2,2,Connectors
Zotu12,-0.659490871,0.75,2,6,Connectors
Zotu1227,-0.868904566,0.75,2,2,Connectors
Zotu1304,-0.863840155,0.75,2,6,Connectors
Zotu1366,-0.966987557,0.6875,4,5,Connectors
Zotu1464,-0.770286449,0.75,2,4,Connectors
Zotu153,-0.255883158,0.75,2,7,Connectors
Zotu1576,-0.868904566,0.75,2,2,Connectors
Zotu1709,-0.868904566,0.75,2,2,Connectors
Zotu1715,-0.458008159,0.75,2,4,Connectors
Zotu1719,-0.868904566,0.75,2,2,Connectors
Zotu174,0.866025404,0.75,2,18,Connectors
Zotu185,-0.255883158,0.75,2,7,Connectors
Zotu189,-0.458008159,0.694444444,6,4,Connectors
Zotu1893,-0.966987557,0.6875,4,5,Connectors
Zotu2034,-0.966987557,0.6875,4,5,Connectors
Zotu2341,-0.883875686,0.75,2,1,Connectors
Zotu2380,-0.577350269,0.75,2,15,Connectors
Zotu241,-0.883875686,0.75,2,1,Connectors
Zotu2438,-0.883875686,0.75,2,1,Connectors
Zotu250,-0.721697996,0.75,2,3,Connectors
Zotu2500,-0.458008159,0.75,2,4,Connectors
Zotu2641,-0.883875686,0.75,2,1,Connectors
Zotu2643,-0.842032793,0.6875,4,1,Connectors
Zotu273,-0.255883158,0.75,2,7,Connectors
Zotu277,-0.868904566,0.75,2,2,Connectors
Zotu278,-0.721697996,0.75,2,3,Connectors
Zotu2786,-0.458008159,0.75,2,4,Connectors
Zotu3055,-0.883875686,0.75,2,1,Connectors
Zotu3115,0,0.75,2,19,Connectors
Zotu339,-0.659490871,0.75,2,6,Connectors
Zotu3400,-0.883875686,0.75,2,1,Connectors
Zotu344,0.166548421,0.638888889,6,4,Connectors
Zotu347,0.166548421,0.632653061,7,4,Connectors
Zotu3543,-0.868904566,0.75,2,2,Connectors
Zotu358,1.154700538,0.777777778,3,15,Connectors
Zotu373,-0.721697996,0.6875,4,3,Connectors
Zotu375,-0.868904566,0.75,2,2,Connectors
Zotu385,-0.883875686,0.75,2,1,Connectors
Zotu3895,-0.770286449,0.75,2,4,Connectors
Zotu3946,-0.883875686,0.75,2,1,Connectors
Zotu404,-0.350823208,0.75,2,22,Connectors
Zotu409,0,0.75,2,24,Connectors
Zotu41288,-0.721697996,0.75,2,3,Connectors
Zotu43,-0.659490871,0.75,2,6,Connectors
Zotu431,-0.558156306,0.75,2,14,Connectors
Zotu445,-0.883875686,0.75,2,1,Connectors
Zotu469,-0.659490871,0.75,2,6,Connectors
Zotu486,1.154700538,0.75,2,26,Connectors
