source,target,weight,correlation,cor
Zotu3042,Zotu3117,0.864169362573296,0.864169362573296,1
Zotu3042,Zotu1708,0.823701697376482,0.823701697376482,1
Zotu3042,Zotu3273,0.815482384238121,-0.815482384238121,-1
Zotu3042,Zotu992,0.818057623014352,0.818057623014352,1
Zotu3042,Zotu399,0.800395469305536,0.800395469305536,1
Zotu3042,Zotu1101,0.832190985548192,0.832190985548192,1
Zotu3042,Zotu636,0.814193160781484,0.814193160781484,1
Zotu1729,Zotu297,0.800286701013954,0.800286701013954,1
Zotu1729,Zotu2389,0.817771805971579,0.817771805971579,1
Zotu5980,Zotu3050,0.817203357408796,0.817203357408796,1
Zotu721,Zotu1147,0.809641623614611,0.809641623614611,1
Zotu721,Zotu445,0.815376007741051,0.815376007741051,1
Zotu721,Zotu412,0.858433173679234,0.858433173679234,1
Zotu721,Zotu569,0.8142534647332,0.8142534647332,1
Zotu721,Zotu525,0.805079040515578,0.805079040515578,1
Zotu721,Zotu79,0.802871923209159,0.802871923209159,1
Zotu721,Zotu9,0.8335970126029,0.8335970126029,1
Zotu721,Zotu30,0.819742295921106,0.819742295921106,1
Zotu984,Zotu1064,0.841610565422095,0.841610565422095,1
Zotu984,Zotu576,0.826398252052231,0.826398252052231,1
Zotu804,Zotu1110,0.839754251136607,0.839754251136607,1
Zotu804,Zotu925,0.811010846911724,0.811010846911724,1
Zotu804,Zotu50,0.808509051428483,0.808509051428483,1
Zotu2964,Zotu1473,0.820408662844207,0.820408662844207,1
Zotu2964,Zotu1184,0.84599519794766,0.84599519794766,1
Zotu1866,Zotu328,0.833748818526293,0.833748818526293,1
Zotu8159,Zotu1830,0.840217281251559,0.840217281251559,1
Zotu8159,Zotu1482,0.837154837116406,0.837154837116406,1
Zotu784,Zotu1305,0.846329818783856,0.846329818783856,1
Zotu784,Zotu1487,0.817975597583779,0.817975597583779,1
Zotu784,Zotu447,0.836102290096218,0.836102290096218,1
Zotu784,Zotu438,0.836148902761574,0.836148902761574,1
Zotu784,Zotu646,0.803378850515749,0.803378850515749,1
Zotu784,Zotu1203,0.803331140997663,0.803331140997663,1
Zotu784,Zotu32,0.867298808742468,0.867298808742468,1
Zotu784,Zotu52,0.808932551650898,0.808932551650898,1
Zotu784,Zotu17,0.81020646472381,0.81020646472381,1
Zotu784,Zotu50,0.818451513616702,0.818451513616702,1
Zotu5587,Zotu2253,0.810474516927632,0.810474516927632,1
Zotu5587,Zotu795,0.83232548069379,0.83232548069379,1
Zotu5587,Zotu494,0.801838780873154,0.801838780873154,1
Zotu5587,Zotu1396,0.808111449704937,0.808111449704937,1
Zotu5587,Zotu152,0.818724283131468,0.818724283131468,1
Zotu1882,Zotu1239,0.819673952907226,0.819673952907226,1
Zotu1882,Zotu357,0.810570239766286,0.810570239766286,1
Zotu1882,Zotu60,0.836091293637852,0.836091293637852,1
Zotu3748,Zotu1427,0.802924504463932,0.802924504463932,1
Zotu3748,Zotu978,0.834808708584304,0.834808708584304,1
Zotu3748,Zotu1569,0.811084206151253,0.811084206151253,1
Zotu3748,Zotu1070,0.807507914786916,0.807507914786916,1
Zotu3748,Zotu1834,0.823817343223419,0.823817343223419,1
Zotu3748,Zotu1439,0.803802375346978,0.803802375346978,1
Zotu3748,Zotu80,0.818808826446842,0.818808826446842,1
Zotu1305,Zotu1236,0.830129941064674,0.830129941064674,1
Zotu1305,Zotu1203,0.806365737586611,0.806365737586611,1
Zotu4241,Zotu1192,0.817422697805102,0.817422697805102,1
Zotu4241,Zotu152,0.835629327994348,0.835629327994348,1
Zotu4834,Zotu302,0.801723603648837,0.801723603648837,1
Zotu4271,Zotu624,0.837881940174734,0.837881940174734,1
Zotu4271,Zotu413,0.823318496376979,0.823318496376979,1
Zotu5582,Zotu2770,0.823032001961783,0.823032001961783,1
Zotu15775,Zotu2079,0.818532683205537,0.818532683205537,1
Zotu15775,Zotu2330,0.805145882433883,0.805145882433883,1
Zotu15775,Zotu421,0.847875078699532,0.847875078699532,1
Zotu5742,Zotu1482,0.854785740646659,0.854785740646659,1
Zotu49016,Zotu437,0.841874402434936,0.841874402434936,1
Zotu3165,Zotu4957,0.806072761240595,0.806072761240595,1
Zotu3165,Zotu1445,0.821537712977057,0.821537712977057,1
Zotu3165,Zotu1314,0.816029203540755,0.816029203540755,1
Zotu3165,Zotu1569,0.81549161589942,0.81549161589942,1
Zotu3165,Zotu1439,0.81966833908077,0.81966833908077,1
Zotu3165,Zotu469,0.802815152758965,0.802815152758965,1
Zotu2605,Zotu679,0.816389978398498,0.816389978398498,1
Zotu1487,Zotu447,0.81109487364786,0.81109487364786,1
Zotu1487,Zotu438,0.822892522669553,0.822892522669553,1
Zotu1487,Zotu646,0.807104066971656,0.807104066971656,1
Zotu1487,Zotu289,0.82266026307379,0.82266026307379,1
Zotu1487,Zotu32,0.895604034452513,0.895604034452513,1
Zotu1487,Zotu52,0.817045698813408,0.817045698813408,1
Zotu1487,Zotu17,0.855911423740846,0.855911423740846,1
Zotu1487,Zotu9,0.815000013063084,0.815000013063084,1
Zotu4579,Zotu4245,0.817604922176007,0.817604922176007,1
Zotu979,Zotu1490,0.812511524560853,0.812511524560853,1
Zotu979,Zotu807,0.801629344029976,0.801629344029976,1
Zotu979,Zotu445,0.848474013909897,0.848474013909897,1
Zotu979,Zotu1239,0.806347905214548,0.806347905214548,1
Zotu979,Zotu986,0.819398720420831,0.819398720420831,1
Zotu979,Zotu699,0.829732983304711,0.829732983304711,1
Zotu979,Zotu745,0.805901376206897,0.805901376206897,1
Zotu979,Zotu646,0.834626046730737,0.834626046730737,1
Zotu979,Zotu1203,0.802430395813999,0.802430395813999,1
Zotu979,Zotu432,0.836782134793029,0.836782134793029,1
Zotu979,Zotu559,0.836183904168663,0.836183904168663,1
Zotu979,Zotu244,0.829400020666034,0.829400020666034,1
Zotu979,Zotu144,0.840657116784537,0.840657116784537,1
Zotu979,Zotu229,0.829977533381415,0.829977533381415,1
Zotu979,Zotu248,0.864788520456877,0.864788520456877,1
Zotu979,Zotu289,0.838285306005322,0.838285306005322,1
Zotu979,Zotu98,0.871666860150814,0.871666860150814,1
Zotu979,Zotu462,0.866749712511826,0.866749712511826,1
Zotu979,Zotu793,0.805418686011128,0.805418686011128,1
Zotu979,Zotu67,0.88531973492664,0.88531973492664,1
Zotu979,Zotu60,0.863506788050778,0.863506788050778,1
Zotu979,Zotu17,0.847155569153402,0.847155569153402,1
Zotu979,Zotu2,0.802061686993128,0.802061686993128,1
Zotu1905,Zotu2005,0.801921267028072,0.801921267028072,1
Zotu1905,Zotu1203,0.803989257795461,0.803989257795461,1
Zotu1905,Zotu1256,0.835703697008208,0.835703697008208,1
Zotu1905,Zotu2281,0.820614877997995,0.820614877997995,1
Zotu1905,Zotu1084,0.805463826083714,0.805463826083714,1
Zotu1905,Zotu1542,0.867898919962992,0.867898919962992,1
Zotu1905,Zotu2196,0.840134695647003,0.840134695647003,1
Zotu1905,Zotu2081,0.806014217602432,0.806014217602432,1
Zotu1905,Zotu593,0.80796244182258,0.80796244182258,1
Zotu1905,Zotu508,0.8241016649286,0.8241016649286,1
Zotu1905,Zotu1088,0.819685466899735,0.819685466899735,1
Zotu1905,Zotu616,0.801042360002871,0.801042360002871,1
Zotu1905,Zotu852,0.820059648979798,0.820059648979798,1
Zotu1905,Zotu409,0.861725010489312,0.861725010489312,1
Zotu1905,Zotu491,0.905727173835191,0.905727173835191,1
Zotu1905,Zotu241,0.82077785180478,0.82077785180478,1
Zotu1905,Zotu793,0.811328727918858,0.811328727918858,1
Zotu1905,Zotu564,0.886481544406026,0.886481544406026,1
Zotu1905,Zotu356,0.832448333458724,0.832448333458724,1
Zotu1905,Zotu71,0.812731048602257,0.812731048602257,1
Zotu3359,Zotu2208,0.829158092934258,0.829158092934258,1
Zotu1662,Zotu1718,0.809344242135294,0.809344242135294,1
Zotu1662,Zotu2436,0.828630675508781,0.828630675508781,1
Zotu1662,Zotu989,0.801801211502559,0.801801211502559,1
Zotu1662,Zotu699,0.828288186249277,0.828288186249277,1
Zotu1662,Zotu745,0.824205028716284,0.824205028716284,1
Zotu1662,Zotu244,0.808953295918789,0.808953295918789,1
Zotu1662,Zotu1249,0.851737440015064,0.851737440015064,1
Zotu1662,Zotu97,0.829677506236957,0.829677506236957,1
Zotu1662,Zotu462,0.816146894574056,0.816146894574056,1
Zotu1662,Zotu240,0.803664036228852,0.803664036228852,1
Zotu1662,Zotu225,0.800154997067579,0.800154997067579,1
Zotu1662,Zotu793,0.838662029846758,0.838662029846758,1
Zotu1662,Zotu60,0.872439886403969,0.872439886403969,1
Zotu1662,Zotu127,0.820775470564358,-0.820775470564358,-1
Zotu1662,Zotu27,0.895119001131169,0.895119001131169,1
Zotu48733,Zotu245,0.825109490712911,0.825109490712911,1
Zotu48733,Zotu891,0.809417778989325,0.809417778989325,1
Zotu48733,Zotu404,0.800947371268646,0.800947371268646,1
Zotu6549,Zotu890,0.814575662988793,0.814575662988793,1
Zotu6549,Zotu1975,0.843401644874604,0.843401644874604,1
Zotu2642,Zotu1594,0.85279016842578,0.85279016842578,1
Zotu2642,Zotu770,0.804147885847464,0.804147885847464,1
Zotu2642,Zotu896,0.82985816563829,0.82985816563829,1
Zotu2642,Zotu212,0.82564247270743,0.82564247270743,1
Zotu2642,Zotu81,0.849270896693087,0.849270896693087,1
Zotu2642,Zotu34,0.812421143494652,0.812421143494652,1
Zotu2642,Zotu28,0.830414438691883,0.830414438691883,1
Zotu2061,Zotu3150,0.817609708731835,0.817609708731835,1
Zotu2061,Zotu1111,0.803087413150194,0.803087413150194,1
Zotu2061,Zotu1491,0.808807816439532,0.808807816439532,1
Zotu2061,Zotu148,0.824828238668654,0.824828238668654,1
Zotu2061,Zotu287,0.823583412689152,0.823583412689152,1
Zotu3391,Zotu1427,0.813817722235321,0.813817722235321,1
Zotu3391,Zotu978,0.808682411661388,0.808682411661388,1
Zotu3391,Zotu1111,0.833342752038426,0.833342752038426,1
Zotu3391,Zotu1184,0.808251955842178,0.808251955842178,1
