id,kingdom,phylum,class,order,family,genus,species,type
Zotu3042,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__uncultured_bacterium,
Zotu1729,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Cytophagales, f__Cytophagaceae, g__Cytophaga, s__uncultured_Bacteroidetes,
Zotu5980,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__uncultured,,
Zotu721,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__uncultured_bacterium,
Zotu984,d__Bacteria, p__Gemmatimonadota, c__S0134_terrestrial_group, o__S0134_terrestrial_group, f__S0134_terrestrial_group, g__S0134_terrestrial_group, s__uncultured_bacterium,
Zotu804,d__Bacteria, p__Actinobacteriota, c__Thermoleophilia, o__Solirubrobacterales, f__67-14, g__67-14, s__uncultured_actinobacterium,
Zotu2964,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__uncultured_planctomycete,
Zotu1866,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured,,
Zotu8159,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae,,,
Zotu784,d__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Ardenticatenales, f__Ardenticatenaceae, g__uncultured,,
Zotu5587,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Acetobacterales, f__Acetobacteraceae, g__Rhodopila, s__uncultured_bacterium,
Zotu1882,d__Bacteria, p__Actinobacteriota, c__MB-A2-108, o__MB-A2-108, f__MB-A2-108, g__MB-A2-108,,
Zotu3748,d__Bacteria, p__Myxococcota, c__Polyangia, o__Polyangiales, f__BIrii41, g__BIrii41,,
Zotu1305,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured, s__metagenome,
Zotu4241,d__Bacteria, p__Chloroflexi, c__Chloroflexia, o__Thermomicrobiales, f__JG30-KF-CM45, g__JG30-KF-CM45, s__uncultured_bacterium,
Zotu4834,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__uncultured,,
Zotu4271,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Propionibacteriales, f__Nocardioidaceae, g__Aeromicrobium,,
Zotu5582,d__Bacteria, p__Myxococcota, c__Polyangia, o__Polyangiales, f__BIrii41, g__BIrii41, s__uncultured_bacterium,
Zotu15775,d__Bacteria, p__Actinobacteriota, c__Thermoleophilia, o__uncultured, f__uncultured, g__uncultured, s__uncultured_bacterium,
Zotu5742,d__Archaea, p__Halobacterota, c__Halobacteria, o__Halobacterales, f__Halomicrobiaceae,,,
Zotu49016,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Isosphaerales, f__Isosphaeraceae, g__Aquisphaera, s__uncultured_planctomycete,
Zotu3165,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Chthoniobacterales, f__Chthoniobacteraceae, g__LD29,,
Zotu2605,d__Bacteria, p__WPS-2, c__WPS-2, o__WPS-2, f__WPS-2, g__WPS-2, s__uncultured_bacterium,
Zotu1487,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__metagenome,
Zotu4579,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Xanthobacteraceae,,,
Zotu979,d__Bacteria, p__MBNT15, c__MBNT15, o__MBNT15, f__MBNT15, g__MBNT15,,
Zotu1905,d__Bacteria, p__Myxococcota, c__Polyangia, o__mle1-27, f__mle1-27, g__mle1-27, s__uncultured_bacterium,
Zotu3359,d__Bacteria, p__Actinobacteriota, c__Thermoleophilia, o__Solirubrobacterales,,,,
Zotu1662,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Gemmatales, f__Gemmataceae, g__Gemmata, s__uncultured_endolithic,
Zotu48733,d__Bacteria, p__Myxococcota, c__Polyangia, o__Nannocystales, f__Nannocystaceae, g__Nannocystis,,
Zotu6549,d__Bacteria, p__Acidobacteriota, c__Acidobacteriae, o__Acidobacteriales, f__uncultured, g__uncultured, s__uncultured_Acidobacteria,
Zotu2642,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae, g__uncultured, s__uncultured_Gemmatimonadetes,
Zotu2061,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Propionibacteriales, f__Nocardioidaceae, g__Nocardioides,,
Zotu3391,d__Bacteria, p__Chloroflexi, c__Ktedonobacteria, o__Ktedonobacterales, f__JG30-KF-AS9, g__JG30-KF-AS9, s__uncultured_soil,
Zotu3599,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Nitrosococcales, f__Nitrosococcaceae, g__wb1-P19, s__uncultured_bacterium,
Zotu3767,d__Archaea, p__Thermoplasmatota, c__Thermoplasmata, o__Marine_Group_II, f__Marine_Group_II, g__Marine_Group_II, s__uncultured_archaeon,
Zotu2838,d__Bacteria, p__Verrucomicrobiota, c__Verrucomicrobiae, o__Pedosphaerales, f__Pedosphaeraceae, g__Pedosphaeraceae,,
Zotu1842,d__Bacteria, p__Planctomycetota, c__Planctomycetes, o__Pirellulales, f__Pirellulaceae, g__uncultured,,
Zotu4296,d__Bacteria, p__Nitrospirota, c__Nitrospiria, o__Nitrospirales, f__Nitrospiraceae, g__Nitrospira,,
Zotu2920,d__Bacteria, p__Actinobacteriota, c__Thermoleophilia, o__Gaiellales, f__uncultured, g__uncultured,,
Zotu3352,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micromonosporales, f__Micromonosporaceae, g__Salinispora, s__uncultured_bacterium,
Zotu4003,d__Bacteria, p__Gemmatimonadota, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae,,,
Zotu1413,d__Bacteria, p__Actinobacteriota, c__Thermoleophilia, o__Gaiellales, f__uncultured, g__uncultured, s__uncultured_Rubrobacterales,
