nodes_id,within_module_connectivities,among_module_connectivities,degree,modularity,type
Zotu1025,-0.605354217,0.75,2,3,Connectors
Zotu1047,-0.232210182,0.777777778,3,5,Connectors
Zotu1085,-0.732726431,0.6875,4,1,Connectors
Zotu1089,-0.338349622,0.75,2,6,Connectors
Zotu1092,1.16105091,0.71,10,5,Connectors
Zotu1095,0.010347935,0.768518519,18,3,Connectors
Zotu11,1.154700538,0.75,2,15,Connectors
Zotu1126,-0.605354217,0.75,2,3,Connectors
Zotu114,-0.605354217,0.75,2,3,Connectors
Zotu1148,1.857681456,0.679012346,9,5,Connectors
Zotu117,-1.351690671,0.75,2,18,Connectors
Zotu1191,-0.648421259,0.632653061,7,1,Connectors
Zotu120,1.154700538,0.777777778,3,26,Connectors
Zotu122,-0.901336775,0.75,2,1,Connectors
Zotu1226,-0.97887426,0.75,2,2,Connectors
Zotu1252,-0.901336775,0.75,2,1,Connectors
Zotu128,-0.297503141,0.638888889,6,3,Connectors
Zotu1294,-0.577350269,0.75,2,12,Connectors
Zotu1302,1.16105091,0.659722222,12,5,Connectors
Zotu1329,-0.928840728,0.75,2,5,Connectors
Zotu1371,-0.297503141,0.714285714,7,3,Connectors
Zotu14,-0.605354217,0.75,2,3,Connectors
Zotu1491,0.324120067,0.644970414,13,4,Connectors
Zotu150,-0.300375705,0.75,2,18,Connectors
Zotu1509,1.154700538,0.714285714,7,12,Connectors
Zotu1532,-0.97887426,0.777777778,3,2,Connectors
Zotu1543,-0.817031603,0.75,2,1,Connectors
Zotu1584,-0.605354217,0.777777778,3,3,Connectors
Zotu1603,0.626050088,0.634087791,54,3,Connectors
Zotu161,-0.605354217,0.75,2,3,Connectors
Zotu164,-0.300375705,0.75,2,18,Connectors
Zotu1678,-0.605354217,0.75,2,3,Connectors
Zotu171,0,0.75,2,7,Connectors
Zotu176,-0.930538256,0.75,2,4,Connectors
Zotu177,-0.605354217,0.75,2,3,Connectors
Zotu179,0.464420364,0.6875,4,5,Connectors
Zotu1793,-0.605354217,0.75,2,3,Connectors
Zotu1800,-0.605354217,0.75,2,3,Connectors
Zotu181,-0.605354217,0.777777778,3,3,Connectors
Zotu1841,-0.605354217,0.75,2,3,Connectors
Zotu188,-0.948683298,0.75,2,7,Connectors
Zotu189,-0.817031603,0.75,2,1,Connectors
Zotu1895,-0.97887426,0.75,2,2,Connectors
Zotu192,-0.338349622,0.777777778,3,6,Connectors
Zotu20,1.154700538,0.75,2,23,Connectors
Zotu2038,-0.648421259,0.638888889,6,1,Connectors
Zotu2053,-0.605354217,0.75,2,3,Connectors
Zotu211,-0.930538256,0.75,2,4,Connectors
Zotu2113,-0.817031603,0.75,2,1,Connectors
Zotu2143,-0.605354217,0.75,2,3,Connectors
Zotu2148,-0.605354217,0.75,2,3,Connectors
Zotu2227,-0.338349622,0.75,2,6,Connectors
Zotu2257,-0.297503141,0.714285714,7,3,Connectors
Zotu2344,-0.605354217,0.75,2,3,Connectors
Zotu2402,-0.605354217,0.75,2,3,Connectors
Zotu2611,-0.605354217,0.75,2,3,Connectors
Zotu276,-0.91464268,0.6875,4,2,Connectors
Zotu281,-0.338349622,0.75,2,6,Connectors
Zotu2819,-0.605354217,0.8125,4,3,Connectors
Zotu296,-0.395505744,0.659722222,12,1,Connectors
Zotu306,-0.817031603,0.75,2,1,Connectors
Zotu308,-0.91464268,0.6875,4,2,Connectors
Zotu3204,-0.605354217,0.75,2,3,Connectors
Zotu323,-0.930538256,0.75,2,4,Connectors
Zotu326,-0.767793373,0.75,2,6,Connectors
Zotu335,-0.338349622,0.75,2,6,Connectors
Zotu3391,0.164273473,0.706790123,18,3,Connectors
Zotu345,-0.817031603,0.75,2,1,Connectors
Zotu3560,-0.605354217,0.75,2,3,Connectors
Zotu370,-0.338349622,0.75,2,6,Connectors
Zotu377,-0.817031603,0.75,2,1,Connectors
Zotu379,-0.605354217,0.75,2,3,Connectors
Zotu383,-0.97887426,0.75,2,2,Connectors
Zotu39,-0.817031603,0.777777778,3,1,Connectors
Zotu409,-0.928840728,0.6875,4,5,Connectors
Zotu413,-0.098229949,0.75,2,9,Connectors
Zotu423,-0.605354217,0.75,2,3,Connectors
Zotu43288,-0.605354217,0.75,2,3,Connectors
Zotu443,-0.300375705,0.777777778,3,18,Connectors
Zotu444,0,0.6875,4,20,Connectors
Zotu483,1.154700538,0.75,2,30,Connectors
Zotu491,-0.91464268,0.6875,4,2,Connectors
Zotu5,0,0.75,2,7,Connectors
Zotu500,-0.605354217,0.75,2,3,Connectors
Zotu505,-0.930538256,0.75,2,4,Connectors
Zotu521,-0.817031603,0.75,2,1,Connectors
Zotu54,-0.098229949,0.75,2,9,Connectors
Zotu552,-0.272326876,0.621173469,28,2,Connectors
Zotu579,1.154700538,0.75,2,24,Connectors
Zotu589,-0.605354217,0.75,2,3,Connectors
Zotu593,-0.232210182,0.75,2,5,Connectors
Zotu622,-0.97887426,0.75,2,2,Connectors
Zotu623,-0.577350269,0.75,2,24,Connectors
Zotu64,-0.300375705,0.75,2,18,Connectors
Zotu650,1.154700538,0.777777778,3,17,Connectors
Zotu653,-0.721428536,0.638888889,6,4,Connectors
Zotu66,0,0.75,2,7,Connectors
Zotu66516,-0.97887426,0.75,2,2,Connectors
Zotu669,-0.759279755,0.75,2,3,Connectors
Zotu676,-0.098229949,0.75,2,9,Connectors
Zotu69,-0.767793373,0.75,2,6,Connectors
Zotu690,-0.605354217,0.75,2,3,Connectors
Zotu726,-0.605354217,0.75,2,3,Connectors
Zotu732,-0.605354217,0.75,2,3,Connectors
Zotu767,-0.817031603,0.75,2,1,Connectors
Zotu783,0.115010346,0.658093278,54,4,Connectors
Zotu794,-0.817031603,0.777777778,3,1,Connectors
Zotu812,-0.930538256,0.75,2,4,Connectors
Zotu846,-0.930538256,0.75,2,4,Connectors
Zotu868,-0.657716358,0.680473373,13,2,Connectors
Zotu890,-0.605354217,0.75,2,3,Connectors
Zotu916,-0.605354217,0.75,2,3,Connectors
Zotu923,-0.817031603,0.75,2,1,Connectors
Zotu980,-0.97887426,0.75,2,2,Connectors
Zotu136,3.526644135,0.173553719,11,6,Module hubs
Zotu149,4.166337463,0.059687787,33,3,Module hubs
Zotu153,3.242784235,0.072702332,27,3,Module hubs
Zotu17,3.196178465,0.538569974,113,2,Module hubs
Zotu19,2.746557402,0.277755102,70,2,Module hubs
Zotu213,3.242784235,0.191438763,29,3,Module hubs
Zotu229,2.875020563,0.505595568,95,2,Module hubs
Zotu251,3.242784235,0.420408163,35,3,Module hubs
Zotu289,3.14531147,0.505144206,77,1,Module hubs
Zotu50,2.63948044,0.465400624,62,1,Module hubs
Zotu52,3.313921814,0.482666667,75,1,Module hubs
Zotu60,3.131946884,0.37202381,84,2,Module hubs
Zotu70,3.242784235,0.072702332,27,3,Module hubs
Zotu76,3.396709773,0.070153061,28,3,Module hubs
Zotu88,3.704560849,0.123829344,31,3,Module hubs
Zotu907,2.781007621,0.081597222,24,3,Module hubs
Zotu1,0.948073151,0.061523438,32,2,Peripherals
Zotu10,-0.143577603,0.36,5,3,Peripherals
Zotu1006,-0.303209095,0.36,5,4,Peripherals
Zotu1009,-1.139647977,0,1,4,Peripherals
Zotu102,0,0,1,31,Peripherals
Zotu1022,-0.400790037,0.173553719,11,2,Peripherals
Zotu103,1.290597691,0.136479592,28,1,Peripherals
Zotu1032,0,0,1,27,Peripherals
Zotu1038,-0.577350269,0.555555556,3,12,Peripherals
Zotu104,1.703528854,0.114186851,17,3,Peripherals
Zotu1055,0.164273473,0.265306122,7,3,Peripherals
Zotu1059,-0.648421259,0.4375,4,1,Peripherals
Zotu1064,-0.786179519,0.36,5,2,Peripherals
Zotu107,-0.577350269,0,1,26,Peripherals
Zotu1073,-0.767793373,0,1,6,Peripherals
Zotu108,0.491149743,0.555555556,3,9,Peripherals
Zotu109,-0.094099374,0.305555556,6,4,Peripherals
Zotu1093,-0.297503141,0.4375,4,3,Peripherals
Zotu1096,-0.759279755,0,1,3,Peripherals
Zotu1101,-0.451428679,0.555555556,3,3,Peripherals
Zotu1105,0.241525767,0.171487603,22,2,Peripherals
Zotu1110,-0.400790037,0.529411765,17,2,Peripherals
Zotu1112,0,0,1,11,Peripherals
Zotu1113,0.164273473,0.265306122,7,3,Peripherals
Zotu1114,1.204999473,0.104455807,37,2,Peripherals
Zotu1118,-1.139647977,0,1,4,Peripherals
Zotu1129,-0.297503141,0.4375,4,3,Peripherals
Zotu1130,0,0,1,10,Peripherals
Zotu1131,-0.767793373,0,1,6,Peripherals
Zotu1137,-0.759279755,0,1,3,Peripherals
Zotu1140,-0.336558456,0.278106509,13,2,Peripherals
Zotu1141,-0.901336775,0,1,1,Peripherals
Zotu1142,-0.759279755,0,1,3,Peripherals
Zotu1145,-0.759279755,0,1,3,Peripherals
Zotu1147,-0.657716358,0.421875,8,2,Peripherals
Zotu115,-0.91464268,0.555555556,3,2,Peripherals
Zotu1151,-0.297503141,0.4375,4,3,Peripherals
Zotu116,-0.648421259,0.4375,4,1,Peripherals
Zotu1162,-0.311200572,0.548611111,12,1,Peripherals
Zotu1164,-0.901336775,0,1,1,Peripherals
Zotu1167,2.049344237,0.550129273,59,1,Peripherals
Zotu1178,0.091094129,0.555555556,3,6,Peripherals
Zotu118,-0.648421259,0.4375,4,1,Peripherals
Zotu1182,-0.479810916,0.305555556,6,1,Peripherals
Zotu1183,-0.479810916,0.305555556,6,1,Peripherals
Zotu1185,-0.297503141,0.4375,4,3,Peripherals
Zotu1189,2.133649409,0.424406497,49,1,Peripherals
Zotu1190,-1.04310584,0,1,2,Peripherals
Zotu1194,0.164273473,0.265306122,7,3,Peripherals
Zotu12,-0.759279755,0,1,3,Peripherals
Zotu1203,0.363240802,0.433106576,21,1,Peripherals
Zotu1205,-0.901336775,0,1,1,Peripherals
Zotu1208,-0.91464268,0.555555556,3,2,Peripherals
Zotu1222,-0.68760964,0,1,9,Peripherals
Zotu1223,-0.648421259,0.4375,4,1,Peripherals
Zotu1229,-0.68760964,0,1,9,Peripherals
Zotu123,1.076536312,0.444706994,46,2,Peripherals
Zotu1230,-0.759279755,0,1,3,Peripherals
Zotu1231,-0.759279755,0,1,3,Peripherals
Zotu1236,-0.732726431,0.555555556,3,1,Peripherals
Zotu1239,1.718852116,0.527077961,71,2,Peripherals
Zotu124,-0.577350269,0,1,30,Peripherals
Zotu1240,0.318199011,0.234375,8,3,Peripherals
Zotu1242,1.333462634,0.395251978,49,2,Peripherals
Zotu1248,-0.451428679,0.555555556,3,3,Peripherals
Zotu1258,-0.901336775,0,1,1,Peripherals
Zotu126,1.703528854,0.114186851,17,3,Peripherals
Zotu1261,-0.451428679,0.555555556,3,3,Peripherals
Zotu1263,-0.732726431,0.555555556,3,1,Peripherals
Zotu1267,0,0,1,14,Peripherals
Zotu1269,-0.226895401,0.557093426,17,1,Peripherals
Zotu127,0.779975626,0.464285714,14,3,Peripherals
Zotu1274,-0.648421259,0.4375,4,1,Peripherals
Zotu1276,-0.759279755,0,1,3,Peripherals
Zotu129,2.238312883,0.234375,8,6,Peripherals
Zotu1292,-1.04310584,0,1,2,Peripherals
Zotu1296,-0.759279755,0,1,3,Peripherals
Zotu1297,0.164273473,0.265306122,7,3,Peripherals
Zotu1299,0.318199011,0.548611111,12,3,Peripherals
Zotu130,-0.657716358,0.265306122,7,2,Peripherals
Zotu1301,-0.648421259,0.4375,4,1,Peripherals
Zotu1304,0.164273473,0.265306122,7,3,Peripherals
Zotu1305,-0.479810916,0.305555556,6,1,Peripherals
Zotu1307,-0.564116088,0.591836735,7,1,Peripherals
Zotu131,0.305757348,0.088842975,22,2,Peripherals
Zotu1314,0.626050088,0.19,10,3,Peripherals
Zotu1316,-0.759279755,0,1,3,Peripherals
Zotu132,0.933901164,0.159722222,12,3,Peripherals
Zotu133,0.94998163,0.591836735,7,6,Peripherals
Zotu134,1.269231053,0.053323594,37,2,Peripherals
Zotu1342,-0.395505744,0.265306122,7,1,Peripherals
Zotu1350,0.47212455,0.209876543,9,3,Peripherals
Zotu1357,0.819609991,0.454081633,42,2,Peripherals
Zotu1366,-0.303209095,0.36,5,4,Peripherals
Zotu137,0.110325287,0.40234375,16,1,Peripherals
Zotu1381,-0.91464268,0.555555556,3,2,Peripherals
Zotu1385,-0.901336775,0,1,1,Peripherals
Zotu1388,-0.901336775,0,1,1,Peripherals
Zotu1394,0,0,1,20,Peripherals
Zotu1407,-1.139647977,0,1,4,Peripherals
Zotu141,0,0,1,29,Peripherals
Zotu1413,-0.577350269,0,1,17,Peripherals
Zotu1419,-0.593484778,0.234375,8,2,Peripherals
Zotu1426,0.164273473,0.265306122,7,3,Peripherals
Zotu1427,-0.759279755,0,1,3,Peripherals
Zotu144,1.397694214,0.138607971,41,2,Peripherals
Zotu1442,-0.759279755,0,1,3,Peripherals
Zotu145,1.160558949,0.159722222,12,4,Peripherals
Zotu1450,0.010347935,0.305555556,6,3,Peripherals
Zotu1451,-1.139647977,0,1,4,Peripherals
Zotu1456,-0.577350269,0,1,26,Peripherals
Zotu1458,0.869071832,0.088842975,22,1,Peripherals
Zotu146,0,0,1,29,Peripherals
Zotu147,-0.850411099,0.4375,4,2,Peripherals
Zotu148,0.164273473,0.265306122,7,3,Peripherals
Zotu1481,1.369668669,0.342222222,15,4,Peripherals
Zotu1487,-0.732726431,0.555555556,3,1,Peripherals
Zotu1490,0.498452089,0.2960761,29,2,Peripherals
Zotu1496,0.091094129,0.555555556,3,6,Peripherals
Zotu15,0.113062606,0.102493075,19,2,Peripherals
Zotu1501,-0.759279755,0,1,3,Peripherals
Zotu1502,-0.759279755,0,1,3,Peripherals
Zotu1504,-0.759279755,0,1,3,Peripherals
Zotu151,1.857454392,0.108024691,18,3,Peripherals
Zotu1516,0.953377004,0.561909263,46,1,Peripherals
Zotu152,0.626050088,0.19,10,3,Peripherals
Zotu1527,-0.759279755,0,1,3,Peripherals
Zotu1529,-0.400790037,0.173553719,11,2,Peripherals
Zotu154,-0.68760964,0,1,9,Peripherals
Zotu1552,0.953377004,0.085066163,23,1,Peripherals
Zotu1555,-0.577350269,0,1,17,Peripherals
Zotu1556,-0.759279755,0,1,3,Peripherals
Zotu1563,-0.759279755,0,1,3,Peripherals
Zotu1564,-1.04310584,0,1,2,Peripherals
Zotu1569,-0.297503141,0.4375,4,3,Peripherals
Zotu1571,-0.759279755,0,1,3,Peripherals
Zotu1572,-0.901336775,0,1,1,Peripherals
Zotu158,1.590388955,0.3156,50,2,Peripherals
Zotu1592,-0.786179519,0.36,5,2,Peripherals
Zotu1594,0,0,1,28,Peripherals
Zotu16,2.165305468,0.0975,20,3,Peripherals
Zotu160,-0.297503141,0.4375,4,3,Peripherals
Zotu1611,-1.04310584,0,1,2,Peripherals
Zotu1618,1.461925794,0.518135904,66,2,Peripherals
Zotu1619,-0.297503141,0.4375,4,3,Peripherals
Zotu162,-0.577350269,0,1,23,Peripherals
Zotu1628,-0.451428679,0.555555556,3,3,Peripherals
Zotu163,1.703528854,0.3375,20,3,Peripherals
Zotu1630,-0.901336775,0,1,1,Peripherals
Zotu1632,0.318199011,0.234375,8,3,Peripherals
Zotu1637,-0.68760964,0,1,9,Peripherals
Zotu165,0.52053788,0.6,5,6,Peripherals
Zotu166,-0.759279755,0,1,3,Peripherals
Zotu1662,-0.593484778,0.47,10,2,Peripherals
Zotu1668,-0.143577603,0.36,5,3,Peripherals
Zotu1682,-0.759279755,0,1,3,Peripherals
Zotu1686,0.69114683,0.414351852,36,2,Peripherals
Zotu1689,0.498452089,0.0784,25,2,Peripherals
Zotu1708,-0.143577603,0.36,5,3,Peripherals
Zotu1715,-0.901336775,0,1,1,Peripherals
Zotu1721,-0.759279755,0,1,3,Peripherals
Zotu1722,-0.732726431,0.555555556,3,1,Peripherals
Zotu1730,0.164273473,0.265306122,7,3,Peripherals
Zotu1738,-0.657716358,0.421875,8,2,Peripherals
Zotu1749,-0.451428679,0.555555556,3,3,Peripherals
Zotu175,-0.529253197,0.209876543,9,2,Peripherals
Zotu1754,-0.143863715,0.128888889,15,2,Peripherals
Zotu1757,1.911546857,0.538773148,72,2,Peripherals
Zotu1759,-0.759279755,0,1,3,Peripherals
Zotu1764,-0.311200572,0.47,10,1,Peripherals
Zotu1768,-0.759279755,0,1,3,Peripherals
Zotu1773,-0.759279755,0,1,3,Peripherals
Zotu1778,0.47212455,0.209876543,9,3,Peripherals
Zotu1785,-0.850411099,0.4375,4,2,Peripherals
Zotu1792,-0.759279755,0,1,3,Peripherals
Zotu1797,1.206292519,0.424740484,34,1,Peripherals
Zotu18,0.194630458,0.595663265,28,1,Peripherals
Zotu180,0.742339508,0.19,10,4,Peripherals
Zotu1801,0.869071832,0.539591837,35,1,Peripherals
Zotu1802,-0.901336775,0,1,1,Peripherals
Zotu1809,0.318199011,0.234375,8,3,Peripherals
Zotu1828,-0.759279755,0,1,3,Peripherals
Zotu1829,-0.451428679,0.555555556,3,3,Peripherals
Zotu183,-0.759279755,0,1,3,Peripherals
Zotu1834,-0.143577603,0.36,5,3,Peripherals
Zotu1843,-0.311200572,0.553719008,11,1,Peripherals
Zotu1845,-0.564116088,0.604938272,9,1,Peripherals
Zotu185,2.01137993,0.102493075,19,3,Peripherals
Zotu186,1.996997831,0.293209877,18,4,Peripherals
Zotu1865,-0.786179519,0.36,5,2,Peripherals
Zotu18706,-0.272326876,0.501385042,19,2,Peripherals
Zotu1873,-1.04310584,0,1,2,Peripherals
Zotu1876,-0.732726431,0.555555556,3,1,Peripherals
Zotu1887,-0.465021617,0.19,10,2,Peripherals
Zotu1889,-0.91464268,0.555555556,3,2,Peripherals
Zotu1893,1.57877839,0.137755102,14,4,Peripherals
Zotu1901,0,0,1,14,Peripherals
Zotu1911,-0.901336775,0,1,1,Peripherals
Zotu1914,0,0,1,27,Peripherals
Zotu193,0.616156317,0.102493075,19,1,Peripherals
Zotu194,0.562683669,0.141289438,27,2,Peripherals
Zotu1974,-0.767793373,0,1,6,Peripherals
Zotu1975,-0.451428679,0.555555556,3,3,Peripherals
Zotu198,1.543513207,0.331018519,36,1,Peripherals
Zotu1989,-1.04310584,0,1,2,Peripherals
Zotu2,0.883841571,0.063475546,31,2,Peripherals
Zotu200,0.562683669,0.075443787,26,2,Peripherals
Zotu201,1.087826702,0.147928994,13,3,Peripherals
Zotu202,-0.297503141,0.4375,4,3,Peripherals
Zotu2021,0,0,1,16,Peripherals
Zotu2024,0.164273473,0.265306122,7,3,Peripherals
Zotu2034,-0.094099374,0.305555556,6,4,Peripherals
Zotu2036,0.616156317,0.46776406,27,1,Peripherals
Zotu2045,-0.759279755,0,1,3,Peripherals
Zotu2056,-0.577350269,0,1,24,Peripherals
Zotu2062,0.47212455,0.209876543,9,3,Peripherals
Zotu2067,-1.139647977,0,1,4,Peripherals
Zotu207,-0.648421259,0.6,5,1,Peripherals
Zotu2077,-0.759279755,0,1,3,Peripherals
Zotu21,0.626050088,0.19,10,3,Peripherals
Zotu210,0.447545974,0.581054688,32,1,Peripherals
Zotu2109,-0.759279755,0,1,3,Peripherals
Zotu2111,-0.759279755,0,1,3,Peripherals
Zotu2117,-0.759279755,0,1,3,Peripherals
Zotu2131,-0.759279755,0,1,3,Peripherals
Zotu215,-0.767793373,0,1,6,Peripherals
Zotu2159,-0.759279755,0,1,3,Peripherals
Zotu216,0.164273473,0.265306122,7,3,Peripherals
Zotu2164,0.363240802,0.12109375,16,1,Peripherals
Zotu217,0,0,1,19,Peripherals
Zotu2176,0.241525767,0.092970522,21,2,Peripherals
Zotu218,0.115010346,0.265306122,7,4,Peripherals
Zotu2195,-0.226895401,0.209876543,9,1,Peripherals
Zotu22,-0.079632135,0.12109375,16,2,Peripherals
Zotu2204,-0.91464268,0.555555556,3,2,Peripherals
Zotu221,-0.143577603,0.36,5,3,Peripherals
Zotu2217,-0.901336775,0,1,1,Peripherals
Zotu2221,-0.732726431,0.555555556,3,1,Peripherals
Zotu2228,0.091094129,0.555555556,3,6,Peripherals
Zotu2229,-0.226895401,0.209876543,9,1,Peripherals
Zotu223,1.206292519,0.075443787,26,1,Peripherals
Zotu2240,-0.311200572,0.234375,8,1,Peripherals
Zotu225,-0.786179519,0.36,5,2,Peripherals
Zotu228,2.206107551,0.206790123,18,4,Peripherals
Zotu2281,-0.721947939,0.305555556,6,2,Peripherals
Zotu23,0.933901164,0.159722222,12,3,Peripherals
Zotu230,1.965039065,0.477440828,52,1,Peripherals
Zotu2309,1.24175224,0.137755102,14,3,Peripherals
Zotu231,1.24175224,0.32421875,16,3,Peripherals
Zotu2316,-0.297503141,0.4375,4,3,Peripherals
Zotu232,0,0,1,28,Peripherals
Zotu2335,-0.901336775,0,1,1,Peripherals
Zotu2352,-0.759279755,0,1,3,Peripherals
Zotu237,0.616156317,0.518554688,32,1,Peripherals
Zotu238,-0.657716358,0.530864198,9,2,Peripherals
Zotu24,0.750939261,0.555555556,3,18,Peripherals
Zotu240,1.037682176,0.081597222,24,1,Peripherals
Zotu241,1.880733894,0.386695511,43,1,Peripherals
Zotu244,0.626915249,0.346189164,33,2,Peripherals
Zotu245,-0.91464268,0.555555556,3,2,Peripherals
Zotu2464,0.305757348,0.227430556,24,2,Peripherals
Zotu2471,-0.901336775,0,1,1,Peripherals
Zotu2475,0,0,1,11,Peripherals
Zotu248,0.948073151,0.116620753,33,2,Peripherals
Zotu2485,-0.901336775,0,1,1,Peripherals
Zotu249,1.718852116,0.451873049,62,2,Peripherals
Zotu250,-0.657716358,0.265306122,7,2,Peripherals
Zotu2508,-1.04310584,0,1,2,Peripherals
Zotu2519,0.048831026,0.2725,20,2,Peripherals
Zotu252,-0.395505744,0.265306122,7,1,Peripherals
Zotu253,-0.759279755,0,1,3,Peripherals
Zotu2534,-0.759279755,0,1,3,Peripherals
Zotu2546,-0.928840728,0,1,5,Peripherals
Zotu255,-1.04310584,0,1,2,Peripherals
Zotu259,0.784766661,0.092970522,21,1,Peripherals
Zotu260,-0.564116088,0.36,5,1,Peripherals
Zotu261,-0.759279755,0,1,3,Peripherals
Zotu262,2.238312883,0.382716049,9,6,Peripherals
Zotu263,1.802254228,0.4375,4,18,Peripherals
Zotu2630,0.164273473,0.265306122,7,3,Peripherals
Zotu264,-0.564116088,0.36,5,1,Peripherals
Zotu2645,-0.759279755,0,1,3,Peripherals
Zotu2647,0.010347935,0.305555556,6,3,Peripherals
Zotu2649,2.470870096,0.460141582,57,1,Peripherals
