nodes_id,within_module_connectivities,among_module_connectivities,degree,modularity,type
Zotu76,3.230175346,0.173553719,11,4,Module hubs
Zotu828,2.633344789,0.196006616,92,2,Module hubs
Zotu52,2.893286455,0.2135,100,2,Module hubs
Zotu48,2.748485142,0.219326322,81,3,Module hubs
Zotu1302,2.841670785,0.265306122,7,5,Module hubs
Zotu40,3.846405897,0.271604219,131,2,Module hubs
Zotu17,4.236318396,0.348034972,152,2,Module hubs
Zotu289,2.546697567,0.401570248,110,2,Module hubs
Zotu347,2.779869355,0.4475,20,1,Module hubs
Zotu44,3.520384236,0.477810651,26,1,Module hubs
Zotu249,3.586464231,0.493090986,168,2,Module hubs
Zotu229,3.066580899,0.494567202,148,2,Module hubs
Zotu1110,2.719992011,0.495657733,137,2,Module hubs
Zotu1904,3.520384236,0.518888889,30,1,Module hubs
