,pH,NO3,NH4,Moisture,Altitude,MAT,MAP,TP ,TN,TK,SOC,,,,
T01,8.1,27.68180877,168.0925389,14.15,3232,1.26,483.01,0.538610888,2.424503687,9.07478418,24.01242102,,,,
T02,7.88,125.0420047,94.82508601,25.83,3162,0.83,358.61,0.658666273,6.32419393,11.33590829,74.82016305,,,,
T04,8.26,64.12413651,48.08050267,12.35,3589,-0.29,301.67,0.473441701,0.825669068,9.049349349,7.720660149,,,,
T05,8.71,30.57506693,17.74916068,1.52,3983,2.18,256.05,0.33174247,0.303409397,4.071214841,4.660803829,,,,
T06,8.21,40.42534922,15.33181049,15.24,4227,-3.9,417.43,0.396714696,2.088453069,10.31939816,24.5232926,,,,
T07,8.3,135.2732328,19.18319185,7.65,4283,-3.11,397.72,0.317703192,3.562042005,8.924284304,44.99598966,,,,
T09,7.96,116.5494566,62.05130242,31.29,3799,1.52,565.94,0.727675894,7.825855455,10.02598441,89.67776584,,,,
T10,8.01,70.37407004,48.45752065,36.52,4187,-1.58,582.82,0.46565979,5.515623131,9.367534381,65.43116152,,,,
T11,7.93,218.4251943,33.35275824,23.34,4125,-1.02,476.01,0.575424665,0.000600421,7.964179695,64.81152461,,,,
T12,6.29,0.602072523,26.40622469,6.75,4471,-3.33,269.75,0.177445322,0.4588439,4.133049818,4.078380356,,,,
T13,6.55,26.8570794,35.79559824,6.77,4543,-3.21,315.14,0.14182919,0.565525147,4.124696847,7.344921494,,,,
T14,8.25,119.4960774,122.1778626,1.18,2735,6.04,40.78,0.358692257,0.616955691,9.013260219,9.173286377,,,,
T15,8.8,36.99260741,82.19055995,0.6,2835,3.45,40.58,0.119739489,0.134939245,1.619110843,2.390225447,,,,
T18,8.85,187.9371793,8.922039915,13.27,793,12.21,41.44,0.370351037,0.429887432,6.147577539,5.018688473,,,,
T19,9.39,72.80418706,105.6138039,9.4,1978,3.97,241.43,0.796587462,2.326093499,14.15449949,21.99454681,,,,
T20,9.04,158.4323511,54.82068112,19.64,2429,-3.35,316.54,0.776434895,5.26903663,12.74705998,47.57735352,,,,
T22,5.24,829.2447182,120.5084574,70.4,2949,8.47,938.13,1.085390754,6.090498177,4.029417572,84.18367347,,,,
T23,6.02,41.80677744,43.40043237,24.57,2161,13.94,896.76,0.285260726,0.80996032,15.3330198,19.98465552,,,,
T24,5.42,26.35129564,920.6077497,57.03,1559,15.76,1062.72,0.956471136,2.818328119,6.050678372,38.75121477,,,,
T25,4.81,263.9173413,19.35587116,8.46,1409,16.91,1217.87,0.207278801,0.822255414,9.151953837,12.22717912,,,,
T26,5.93,315.3013396,61.9947552,4.39,421,21.83,1212.95,0.560937912,1.97946551,5.512024941,23.95491738,,,,
T27,4.49,127.8223168,729.0609362,17.19,853,21.17,1565.11,0.294426213,1.391939006,1.107667064,21.04004782,,,,
T28,6.95,23.42528507,10.25344861,16.02,3317,6.67,663.54,0.570522641,1.006749271,3.576650708,15.24141876,,,,
T29,7.47,39.56230312,12.87855908,35.42,2326,13.93,791.85,0.717051027,2.524080145,9.503836954,12.49052718,,,,
T30,6.56,25.09611874,12.20386647,31.65,2065,14.25,902.74,1.25276626,1.466770492,3.088247052,16.48892865,,,,
T31,6.4,141.4742726,22.00959299,31.68,3299,2.11,749.91,0.798151987,6.157355536,10.22267206,74.36731444,,,, 
