"","group","name1","name2","C.ij.ruzicka","E.ij.ruzicka","ST.ij.ruzicka","NST.ij.ruzicka","MST.ij.ruzicka"
"1","D","D02","D01",0.1836187,0.2489948127,0.919919634734407,0.776112511980465,0.678385407321406
"2","D","D04","D01",0.1795386,0.2451894889,0.919982964585537,0.776340844935191,0.673652260651769
"3","D","D05","D01",0.24393,0.2471461034,0.99574628883569,1.04950213265593,0.982788678009519
"4","D","D06","D01",0.180042,0.2494993358,0.915291593227946,0.759426314667425,0.660486443779727
"5","D","D07","D01",0.2109935,0.2480768302,0.952999968694808,0.895382181207484,0.810542438536881
"6","D","D08","D01",0.0540022999999999,0.2289052225,0.815112740231821,0.398235926605059,0.192297765210756
"7","D","D09","D01",0.1932263,0.2487853189,0.931134320689928,0.816546562192929,0.723192350679855
"8","D","D10","D01",0.1763245,0.245846163,0.915595810486047,0.760523156428162,0.656678841418595
"9","D","D11","D01",0.1847014,0.2476310842,0.922813943014253,0.78654781144242,0.68830222895843
"10","D","D12","D01",0.2015361,0.2474595263,0.942485281676479,0.857471945954028,0.767579291921077
"11","D","D13","D01",0.2352345,0.2500001908,0.980692524963535,0.995226458178066,0.922770158795953
"12","D","D15","D01",0.0465737000000001,0.167802305,0.872849527016404,0.606403337196238,0.242260271790688
"13","D","D18","D01",0.0428295,0.1961138656,0.839856780375074,0.487449460143102,0.183417148323623
"14","D","D19","D01",0.2551772,0.2487668243,0.974878728585469,0.974265074541638,0.966559954715628
"15","D","D20","D01",0.1830165,0.2491355507,0.919069294912321,0.773046649663834,0.675153927810435
"16","D","D21","D01",0.156486,0.222672737,0.921534512764459,0.781934882719433,0.647619693849001
"17","D","D22","D01",0.0806084,0.2464008152,0.819671601089242,0.414672696172365,0.268150152975801
"18","D","D23","D01",0.1262632,0.2434429001,0.865886729161459,0.581299279962476,0.449097629121857
"19","D","D24","D01",0.0737021,0.2493123887,0.810417049741773,0.381305823897787,0.239576696341577
"20","D","D25","D01",0.0501078,0.2139085732,0.827558565908847,0.44310879619377,0.193854498155511
"21","D","D26","D01",0.1867489,0.2508355225,0.921197004836514,0.780718012932818,0.685837977101165
"22","D","D27","D01",0.0586373,0.2491347069,0.797636546572326,0.33522628953155,0.187734796385069
"23","D","D28","D01",0.0985462,0.2499383344,0.83205779996712,0.459330583995171,0.328065458881924
"24","D","D29","D01",0.0936495000000001,0.2504459055,0.827002461520129,0.441103786613834,0.309241897428942
"25","D","D30","D01",0.1345561,0.2508235115,0.865655750187851,0.580466495571195,0.464387333512997
"26","D","D31","D01",0.1022981,0.2451171556,0.840905922556252,0.491232095501951,0.350946786836211
"27","D","D32","D01",0.0624961000000001,0.2353293649,0.815645284355617,0.40015599070024,0.216609811007981
"28","D","D33","D01",0.0772973,0.2500145608,0.81281374726659,0.389947009968166,0.251298595831982
"29","D","D34","D01",0.0660832,0.2257680464,0.829015982580033,0.448363447023665,0.242656256514575
"30","D","D35","D01",0.0606786,0.2248765951,0.825195087538727,0.434587380304594,0.222662934826371
"31","D","D36","D01",0.0969208,0.2488726042,0.831740334402564,0.45818597605618,0.323912464618972
"32","D","D37","D01",0.1808183,0.2417063966,0.92567204980287,0.796852588041773,0.692486623264112
"33","D","D38","D01",0.1082803,0.2473529227,0.844039979491313,0.502531798051233,0.369483817671152
"34","D","D39","D01",0.1031181,0.2494585361,0.836834218529775,0.476551748169016,0.345920231790277
"35","D","D40","D01",0.105502,0.24929493,0.839247343202556,0.485252161588985,0.35517077384027
"36","D","D41","D01",0.1414037,0.245147305,0.879170682426654,0.629193981202902,0.507115456262731
"37","D","D42","D01",0.096815,0.2508831453,0.829416846714682,0.449808744788851,0.320069297276472
"38","D","D43","D01",0.0690574,0.2494695618,0.806204848934832,0.366118921686854,0.223171156966502
"39","D","D44","D01",0.0676518,0.248775116,0.80573425679376,0.364422222703292,0.219111033572024
"40","D","D45","D01",0.1581485,0.24017617,0.902562779777669,0.713533145279102,0.594309376228577
"41","D","D46","D01",0.0597008999999999,0.2461761059,0.801685223457089,0.349823613531692,0.194419069154222
"42","D","D47","D01",0.0430846,0.1900203731,0.846448522931076,0.511215694039807,0.191920978977787
"43","D","D48","D01",0.1546066,0.2457444478,0.892194748858934,0.676151672054155,0.561311549025091
"44","D","D49","D01",0.1148377,0.2505928786,0.846632444016199,0.511878813312204,0.387981187491731
"45","D","D50","D01",0.0547955,0.2487635411,0.794787222130237,0.324953177291054,0.175068914993176
"46","D","D51","D01",0.067351,0.2490048151,0.805228102855415,0.362597307245164,0.2177986716186
"47","D","D52","D01",0.051446,0.2450383494,0.795907929964978,0.328993839423113,0.167101514784274
"48","D","D53","D01",0.2071215,0.2475798857,0.948972779940432,0.880862331703421,0.793895938212852
"49","D","D54","D01",0.0573244000000001,0.242560387,0.803499754316331,0.356365823644898,0.18989144058519
"50","D","D55","D01",0.1032609,0.2478786691,0.838729270196872,0.483384272464971,0.349396499550885
"51","D","D56","D01",0.088275,0.2491728475,0.82352370780663,0.428561295197999,0.291751513200612
"52","D","D04","D02",0.1405766,0.252488048,0.869783103415616,0.595347483618286,0.484265106345215
