site1,site2,comm_sim,site_dis,group
T02,T01,0.312768786,105401.393,T
T04,T01,0.311615451,198168.2765,T
T04,T02,0.221596685,105396.1157,T
T05,T01,0.417409493,240967.8107,T
T05,T02,0.236668231,152233.6167,T
T05,T04,0.408593322,47115.43289,T
T06,T01,0.333040113,247647.4323,T
T06,T02,0.375557119,209931.3589,T
T06,T04,0.343146454,149552.887,T
T06,T05,0.293162092,134753.4554,T
T07,T01,0.366389084,378629.9435,T
T07,T02,0.4268512,313127.0464,T
T07,T04,0.278892017,216140.9748,T
T07,T05,0.296211588,172806.344,T
T07,T06,0.487117836,145933.8911,T
T08,T01,0.192098679,391458.953,T
T08,T02,0.397333646,346520.1779,T
T08,T04,0.153471734,263843.6925,T
T08,T05,0.159609821,228253.3829,T
T08,T06,0.288509657,143834.2964,T
T08,T07,0.288626945,85000.50835,T
T09,T01,0.346567363,539797.4913,T
T09,T02,0.529517554,500512.6884,T
T09,T04,0.257741027,416989.7571,T
T09,T05,0.26913754,379001.1182,T
T09,T06,0.45290875,294434.2071,T
T09,T07,0.509168035,213374.4026,T
T09,T08,0.327117054,154233.5091,T
T10,T01,0.33296192,653729.4893,T
T10,T02,0.506802721,591297.4282,T
T10,T04,0.246911408,492009.2635,T
T10,T05,0.255356165,446454.8126,T
T10,T06,0.455449996,409225.1981,T
T10,T07,0.496422707,278293.928,T
T10,T08,0.348053014,270884.4449,T
T10,T09,0.581007115,175802.4309,T
T11,T01,0.346117757,534667.6302,T
T11,T02,0.492571741,465252.8252,T
T11,T04,0.252365314,363685.275,T
T11,T05,0.266752678,317404.3231,T
T11,T06,0.397118618,298038.2181,T
T11,T07,0.517749629,156110.6179,T
T11,T08,0.310735789,177369.0482,T
T11,T09,0.516381265,171813.3897,T
T11,T10,0.533290328,131659.7468,T
T12,T01,0.348561264,637630.1206,T
T12,T02,0.305457815,543088.525,T
T12,T04,0.373973727,440207.5831,T
T12,T05,0.346860583,396725.6039,T
T12,T06,0.509949957,450609.6379,T
T12,T07,0.39960122,314584.6512,T
T12,T08,0.2214403,378614.9223,T
T12,T09,0.361912581,401041.1828,T
T12,T10,0.380326843,288323.2135,T
T12,T11,0.351708499,230307.2279,T
T13,T01,0.425424193,811072.5449,T
T13,T02,0.333431074,721929.9641,T
T13,T04,0.359488623,617093.1999,T
T13,T05,0.399757604,571464.0086,T
T13,T06,0.46903589,600644.4313,T
T13,T07,0.418562827,455369.1981,T
T13,T08,0.212291813,496863.77,T
T13,T09,0.377433732,459607.0548,T
T13,T10,0.3822621,293778.2847,T
T13,T11,0.372077567,320648.3289,T
T13,T12,0.546817578,189750.0772,T
T15,T01,0.145574322,745938.2992,T
T15,T02,0.131167409,641105.7531,T
T15,T04,0.133689108,556189.1652,T
T15,T05,0.151419188,525124.9447,T
T15,T06,0.153667214,622845.7584,T
T15,T07,0.152474783,513487.8534,T
T15,T08,0.121237001,591609.7523,T
T15,T09,0.148408789,641817.2932,T
T15,T10,0.162327,534263.0435,T
T15,T11,0.156990382,470063.6976,T
T15,T12,0.172824302,246855.5557,T
T15,T13,0.155739307,338169.8176,T
T18,T01,0.138615216,1284377.147,T
T18,T02,0.134764251,1181485.596,T
T18,T04,0.126358589,1121076.675,T
T18,T05,0.132594417,1101735.741,T
T18,T06,0.142818047,1217925.76,T
T18,T07,0.149679412,1123586.489,T
T18,T08,0.123621863,1204216.863,T
T18,T09,0.143834545,1254934.56,T
T18,T10,0.153882243,1131895.599,T
T18,T11,0.149268903,1083221.672,T
T18,T12,0.144166862,854719.9598,T
T18,T13,0.138849793,872186.4315,T
T18,T15,0.148741106,615044.3839,T
T19,T01,0.40220111,1414978.509,T
T19,T02,0.221459848,1316473.658,T
T19,T04,0.360114161,1269511.779,T
T19,T05,0.43617562,1256620.934,T
T19,T06,0.296250684,1380912.21,T
T19,T07,0.284306826,1300967.427,T
T19,T08,0.164086324,1384162.317,T
T19,T09,0.256235828,1449253.5,T
T19,T10,0.246383611,1337587.672,T
T19,T11,0.254378763,1277777.096,T
T19,T12,0.334603957,1053890.426,T
T19,T13,0.3692431,1089616.543,T
T19,T15,0.155133318,808188.4003,T
T19,T18,0.137364141,229093.002,T
T20,T01,0.414144968,1584310.553,T
T20,T02,0.46332786,1484525.939,T
T20,T04,0.2945891,1433510.503,T
T20,T05,0.316991164,1418337.024,T
T20,T06,0.436312456,1539686.733,T
T20,T07,0.442900149,1452630.673,T
T20,T08,0.317929471,1534520.437,T
T20,T09,0.452635077,1590050.204,T
T20,T10,0.434201267,1468167.045,T
T20,T11,0.433380249,1418250.107,T
