sample_1,sample_2,value,type,ID,,,,,
RS13T,RS13D,0.877902112,D/T,1,,0.877902112,0.946657585,0.879420064,0.802004476
RS13T,RS13P,0.879420064,P/T,1,,0.912445266,0.953293763,0.917933249,0.828218352
RS13T,RS13R,0.802004476,R/T,1,,0.898063637,0.966371509,0.799046414,0.89458013
RS13T,RS13S,0.946657585,S/T,1,,0.888994843,0.916532062,0.743524375,0.890259803
RS15T,RS15D,0.912445266,D/T,2,,0.844409847,0.937121728,0.862683663,0.898219325
RS15T,RS15P,0.917933249,P/T,2,,0.899620512,0.962284713,0.790931206,0.780714216
RS15T,RS15R,0.828218352,R/T,2,,0.883370633,0.960241316,0.924141286,0.736498978
RS15T,RS15S,0.953293763,S/T,2,,0.82317797,0.951036295,0.890201421,0.746248905
RS17T,RS17D,0.898063637,D/T,3,,0.878,0.949,0.851,0.822
RS17T,RS17P,0.799046414,P/T,3,,,,,
RS17T,RS17R,0.89458013,R/T,3,,,,,
RS17T,RS17S,0.966371509,S/T,3,,,,,
RS19T,RS19D,0.888994843,D/T,4,,,,,
RS19R,RS19P,0.743524375,P/T,4,,,,,
RS19T,RS19R,0.890259803,R/T,4,,,,,
RS19T,RS19S,0.916532062,S/T,4,,,,,
RS21T,RS21D,0.844409847,D/T,4,,,,,
RS21T,RS21P,0.862683663,P/T,4,,,,,
RS21T,RS21R,0.898219325,R/T,4,,,,,
RS21T,RS21S,0.937121728,S/T,4,,,,,
RS23T,RS23D,0.899620512,D/T,4,,,,,
RS23T,RS23P,0.790931206,P/T,4,,,,,
RS23T,RS23R,0.780714216,R/T,4,,,,,
RS23T,RS23S,0.962284713,S/T,4,,,,,
RS26T,RS26D,0.883370633,D/T,4,,,,,
RS26T,RS26P,0.924141286,P/T,4,,,,,
RS26T,RS26R,0.736498978,R/T,4,,,,,
RS26T,RS26S,0.960241316,S/T,4,,,,,
RS29T,RS29D,0.82317797,D/T,4,,,,,
RS29T,RS29P,0.890201421,P/T,4,,,,,
RS29T,RS29R,0.746248905,R/T,4,,,,,
RS29T,RS29S,0.951036295,S/T,4,,,,,
