,Sample1,Sample2,Sample3,pH,Group
1,150,99.5790035,Box plot,D,1
2,144,99.1288631,Box plot,D,1
3,142,99.5970728,Box plot,D,1
4,142,99.0433967,Box plot,D,1
5,141,99.6346151,Box plot,D,1
6,140,99.2439361,Box plot,D,1
7,139,99.6502975,Box plot,D,1
8,138,99.1697594,Box plot,D,1
9,137,99.5025495,Box plot,D,1
10,136,98.9706625,Box plot,D,1
11,134,99.5239002,Box plot,D,1
12,128,98.8696752,Box plot,D,1
13,126,99.888776,Box plot,D,1
14,125,99.7698524,Box plot,D,1
15,123,99.8935497,Box plot,D,1
16,123,99.7472728,Box plot,D,1
17,121,81.1719588,Box plot,S,1
18,120,87.9792823,Box plot,S,1
19,118,71.7847666,Box plot,S,1
20,117,90.6743936,Box plot,S,1
21,116,83.6590528,Box plot,S,1
22,114,89.5671615,Box plot,S,1
23,111,75.5118637,Box plot,S,1
24,111,91.9062615,Box plot,S,1
25,110,77.7527409,Box plot,S,1
26,109,85.7962908,Box plot,S,1
27,109,66.6608117,Box plot,S,1
28,109,88.9808409,Box plot,S,1
29,108,95.0257771,Box plot,S,1
30,108,96.8242193,Box plot,S,1
31,107,92.5457534,Box plot,S,1
32,102,97.5362469,Box plot,S,1
33,102,97.5061078,Box plot,P,1
34,100,72.1895965,Box plot,P,1
35,100,93.4245704,Box plot,P,1
36,99,96.7632303,Box plot,P,1
37,99,97.835539,Box plot,P,1
38,95,75.8632175,Box plot,P,1
39,95,94.2931531,Box plot,P,1
40,93,97.1907921,Box plot,P,1
41,93,97.0532109,Box plot,P,1
42,93,67.1391597,Box plot,P,1
43,92,92.2304565,Box plot,P,1
44,92,96.1754251,Box plot,P,1
45,92,99.341133,Box plot,P,1
46,92,92.6527063,Box plot,P,1
47,91,98.2628223,Box plot,P,1
48,91,99.1448705,Box plot,P,1
