,Sample1,Sample2,Sample3,pH,Group
1,150,99.8165725,Box plot,D,1
2,144,99.8918114,Box plot,D,1
3,142,99.9489732,Box plot,D,1
4,142,99.8964586,Box plot,D,1
5,141,99.7830561,Box plot,D,1
6,140,99.8720429,Box plot,D,1
7,139,99.9396495,Box plot,D,1
8,138,99.8775392,Box plot,D,1
9,137,99.8827238,Box plot,D,1
10,136,99.9308285,Box plot,D,1
11,134,99.9673755,Box plot,D,1
12,128,99.9337998,Box plot,D,1
13,126,99.6092364,Box plot,D,1
14,125,99.7695211,Box plot,D,1
15,123,99.8912954,Box plot,D,1
16,123,99.7794212,Box plot,D,1
17,121,81.1719588,Box plot,S,1
18,120,82.3085606,Box plot,S,1
19,118,90.0291224,Box plot,S,1
20,117,82.930039,Box plot,S,1
21,116,82.7968385,Box plot,S,1
22,114,79.0759357,Box plot,S,1
23,111,88.2072182,Box plot,S,1
24,111,79.8109722,Box plot,S,1
25,110,79.653433,Box plot,S,1
26,109,88.6888028,Box plot,S,1
27,109,93.6250205,Box plot,S,1
28,109,89.0861512,Box plot,S,1
29,108,89.0009881,Box plot,S,1
30,108,62.3111567,Box plot,S,1
31,107,78.7586054,Box plot,S,1
32,102,63.6351191,Box plot,S,1
33,102,69.2129757,Box plot,P,1
34,100,94.6830522,Box plot,P,1
35,100,98.9113005,Box plot,P,1
36,99,98.615874,Box plot,P,1
37,99,63.5874921,Box plot,P,1
38,95,93.7115259,Box plot,P,1
39,95,98.7123705,Box plot,P,1
40,93,98.362963,Box plot,P,1
41,93,80.3160107,Box plot,P,1
42,93,96.6005567,Box plot,P,1
43,92,99.3039292,Box plot,P,1
44,92,99.1150453,Box plot,P,1
45,92,34.4130622,Box plot,P,1
46,92,88.6730746,Box plot,P,1
47,91,97.680696,Box plot,P,1
48,91,97.0513361,Box plot,P,1
